60,  3.6065513851653304
90,  3.6555744981622813
120,  3.7175251546946506
150,  3.7911663326653304
180,  3.8828355126018548
210,  3.993105369250502
240,  4.125106971793509
270,  4.284252019941554
300,  4.484360540635422
330,  4.756758741557669
360,  5.141853637684879
390,  5.749459263058914
400,  6.144233105143066
420,  6.7431152432247545
450,  8.046930324014715
480,  9.87863332478414
500,  9.847623837107244
750,  14.137641039143418
1000,  14.888292259083727
1250,  15.42691153238548
2000,  15.724698086712307
