,,Well,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
TQNGfree,1020,495,24257,25048,30538,28013,25274,29195,27383,26887,27231,27341,24995,28597,32173,26166,25734,26143,26382,25615
TQNGfree,1020,496,24147,24883,30420,27952,25269,29069,27302,26759,27087,27314,24903,28424,31992,26095,25592,25999,26340,25558
TQNGfree,1020,497,24557,25300,30869,28391,25531,29518,27622,27159,27408,27610,25288,28743,32437,26465,25914,26278,26607,25799
TQNGfree,1020,498,24693,25488,30904,28428,25668,29569,27707,27222,27590,27723,25381,28812,32514,26561,26033,26362,26722,25906
TQNGfree,1020,499,24839,25671,31103,28662,25814,29823,27997,27392,27753,27921,25518,28908,32660,26734,26257,26595,26899,26086
TQNGfree,1020,500,24884,25601,31133,28721,25853,29753,27949,27397,27756,27816,25517,28964,32634,26673,26176,26603,26941,26121
TQNGfree,1020,501,24889,25674,31122,28636,25839,29723,27907,27380,27706,27806,25533,28981,32513,26689,26222,26521,26806,26083
TQNGfree,1020,502,25296,26138,31686,29181,26244,30270,28449,27954,28219,28391,26036,29614,33136,27271,26774,27124,27376,26660
TQNGfree,1020,503,25019,25827,31303,28849,26032,29783,28101,27681,27992,28109,25654,29092,32708,27051,26493,26744,27137,26391
TQNGfree,1020,504,25163,25976,31338,28896,26151,29973,28255,27740,28096,28059,25760,29223,32904,26991,26553,26884,27165,26525
TQNGfree,1020,505,25343,26276,31529,29171,26343,30114,28548,27968,28320,28367,26069,29471,33129,27318,26813,27237,27452,26741
TQNGfree,1020,506,25140,25951,31299,28915,26100,29793,28338,27735,28150,28071,25768,29070,32801,27116,26635,27036,27379,26599
TQNGfree,1020,507,24992,25862,31120,28733,26035,29571,28140,27651,27919,27986,25616,29029,32639,27049,26572,26916,27188,26485
TQNGfree,1020,508,24932,25755,30949,28794,25992,29498,28084,27564,28008,28005,25670,28930,32588,27017,26512,26941,27219,26562
TQNGfree,1020,509,24695,25601,30727,28454,25747,29236,27754,27397,27754,27685,25386,28645,32298,26744,26348,26713,27024,26374
TQNGfree,1020,510,24497,25348,30449,28134,25592,28927,27552,27127,27555,27541,25308,28395,32072,26561,26110,26512,26816,26114
TQNGfree,1020,511,24157,25127,30024,27796,25170,28417,27182,26838,27237,27214,24874,28108,31524,26253,25896,26219,26398,25847
TQNGfree,1020,512,23860,24836,29607,27433,24961,28134,26853,26632,26936,26925,24681,27791,31186,26094,25602,26026,26341,25717
TQNGfree,1020,513,23546,24467,29194,27161,24541,27750,26597,26247,26653,26526,24282,27373,30918,25721,25369,25727,26097,25517
TQNGfree,1020,514,23000,23879,28553,26562,24088,27015,25941,25625,26063,25970,23826,26795,30272,25199,24921,25233,25610,25090
TQNGfree,1020,515,22598,23544,28108,26097,23690,26589,25586,25358,25672,25614,23499,26320,29840,24896,24551,24916,25232,24659
TQNGfree,1020,516,22177,23082,27452,25628,23183,26018,25097,24852,25268,25085,23020,25811,29218,24388,24100,24411,24705,24227
TQNGfree,1020,517,21470,22392,26613,24739,22406,25131,24218,24088,24460,24251,22263,25008,28299,23570,23331,23732,23950,23497
TQNGfree,1020,518,21082,22032,26128,24381,22066,24649,23874,23627,24021,23828,21878,24439,27871,23225,22982,23384,23627,23204
TQNGfree,1020,519,20158,21084,25071,23373,21160,23633,22885,22749,23064,22913,21012,23521,26793,22324,22085,22456,22631,22275
TQNGfree,1020,520,19725,20603,24554,22861,20667,23061,22383,22260,22587,22423,20600,23047,26187,21851,21591,21896,22221,21718
TQNGfree,1020,521,18894,19826,23554,21855,19812,22191,21443,21314,21732,21570,19795,22097,25223,20912,20724,21030,21333,20878
